stationName
Byculla
Chinchpokli
Currey Road
Parel
Dadar
Matunga
Sion
Vidyavihar
Ghatkopar
Vikhroli
Kanjurmarg
Bhandup
Nahur
Mulund
Thane
Kalwa
Mumbra
Diva
Kopar
Dombivali
Thakurli
Kalyan
