stationName
Guru Tegh Bahadur Nagar
Chunabhatti
Tilak Nagar
Chembur
Govandi
Mankhurd
Vashi
Sanpada
Juinagar
Nerul
Seawoods-Darave
CBD Belapur
Kharghar
Mansarovar
Khandeshwar
Panvel
