stationName
Chhatrapati Shivaji Maharaj Terminus
Masjid
Sandhurst Road
Kurla
Mahim
Bandra
Khar Road
Santacruz
Vile Parle
Andheri
Jogeshwari
Ram Mandir
Goregaon
Malad
Kandivali
Borivali
