stationName
Juchandra
Kaman Road
Kharbao
Bhiwandi
Dativali
Nilaje
Taloja
Navade Road
Kalamboli
Somatane
Rasayani
Apta
Jite
Hamrapur
Pen
Kasu
Nagothane
Nidi
Roha
