stationName
Churchgate
Marine Lines‡
Charni Road‡
Grant Road‡
Mumbai Central
Mahalaxmi
Lower Parel
Elphinstone Road
Dadar
Matunga Road
Dahisar
Mira Road
Bhayandar
Naigaon
Vasai Road
Nallasopara
Virar
Vaitarna
Saphale
Kelve Road
Palghar
Umroli
Boisar
Vangaon
Dahanu Road
